"values","lat","long","date"
2.92,47.657997,-122.317634,2018-03-31
2.96,47.657997,-122.317634,2018-04-30
3.03,47.657997,-122.317634,2018-05-31
2.56,47.657997,-122.317634,2018-06-30
0.18,47.657997,-122.317634,2018-07-31
0.82,47.657997,-122.317634,2018-08-31
3.71,47.657997,-122.317634,2018-09-30
3.92,47.657997,-122.317634,2018-10-31
4.46,47.657997,-122.317634,2018-11-30
8.39,47.657997,-122.317634,2018-12-31
5,47.657997,-122.317634,2018-01-31
3.44,47.657997,-122.317634,2018-02-28
6.19,47.657997,-122.317634,2018-03-31
3.22,47.657997,-122.317634,2018-04-30
2.87,47.657997,-122.317634,2018-05-31
1.5,47.657997,-122.317634,2018-06-30
0.54,47.657997,-122.317634,2018-07-31
0.06,47.657997,-122.317634,2018-08-31
0.94,47.657997,-122.317634,2018-09-30
3.05,47.657997,-122.317634,2018-10-31
6.12,47.657997,-122.317634,2018-11-30
1.54,47.657997,-122.317634,2018-12-31
5.3,47.657997,-122.317634,2018-01-31
6.5,47.657997,-122.317634,2018-03-31
2.24,47.657997,-122.317634,2018-04-30
2.34,47.657997,-122.317634,2018-05-31
3.29,47.657997,-122.317634,2018-06-30
1.27,47.657997,-122.317634,2018-07-31
0,47.657997,-122.317634,2018-08-31
0.2,47.657997,-122.317634,2018-09-30
5.85,47.657997,-122.317634,2018-10-31
8.58,47.657997,-122.317634,2018-11-30
8.94,47.657997,-122.317634,2018-12-31
4.21,47.657997,-122.317634,2018-01-31
1.67,47.657997,-122.317634,2018-02-28
2.77,47.657997,-122.317634,2018-03-31
4.85,47.657997,-122.317634,2018-04-30
1.3,47.657997,-122.317634,2018-05-31
1.56,47.657997,-122.317634,2018-06-30
0.09,47.657997,-122.317634,2018-07-31
1.02,47.657997,-122.317634,2018-08-31
4.8,47.657997,-122.317634,2018-09-30
0.9,47.657997,-122.317634,2018-10-31
2.58,47.657997,-122.317634,2018-11-30
1.25,47.657997,-122.317634,2018-12-31
4.05,47.657997,-122.317634,2018-01-31
5.42,47.657997,-122.317634,2018-02-28
8.54,47.657997,-122.317634,2018-03-31
3.07,47.657997,-122.317634,2018-04-30
2.2,47.657997,-122.317634,2018-05-31
0.9,47.657997,-122.317634,2018-06-30
0.98,47.657997,-122.317634,2018-07-31
1.29,47.657997,-122.317634,2018-08-31
2.69,47.657997,-122.317634,2018-09-30
6.02,47.657997,-122.317634,2018-10-31
4.7,47.657997,-122.317634,2018-11-30
5.29,47.657997,-122.317634,2018-12-31
2.72,47.657997,-122.317634,2018-01-31
4.1,47.657997,-122.317634,2018-02-28
4.3,47.657997,-122.317634,2018-03-31
1.89,47.657997,-122.317634,2018-04-30
0.65,47.657997,-122.317634,2018-05-31
0.12,47.657997,-122.317634,2018-06-30
0.25,47.657997,-122.317634,2018-07-31
3.42,47.657997,-122.317634,2018-08-31
2.2,47.657997,-122.317634,2018-09-30
3.38,47.657997,-122.317634,2018-10-31
6.48,47.657997,-122.317634,2018-11-30
10.14,47.657997,-122.317634,2018-12-31
7.25,47.657997,-122.317634,2018-01-31
5.51,47.657997,-122.317634,2018-03-31
1.33,47.657997,-122.317634,2018-04-30
1.43,47.657997,-122.317634,2018-05-31
1.75,47.657997,-122.317634,2018-06-30
0.58,47.657997,-122.317634,2018-07-31
0.03,47.657997,-122.317634,2018-08-31
1.37,47.657997,-122.317634,2018-09-30
9.86,47.657997,-122.317634,2018-10-31
8.07,47.657997,-122.317634,2018-11-30
3.69,47.657997,-122.317634,2018-12-31
4.03,47.657997,-122.317634,2018-01-31
8.18,47.657997,-122.317634,2018-02-28
6.59,47.657997,-122.317634,2018-03-31
3.98,47.657997,-122.317634,2018-04-30
0.01,47.657997,-122.317634,2018-05-31
2.48,47.692621,-122.314398,2018-11-30
4.8,47.692621,-122.314398,2018-12-31
6.48,47.692621,-122.314398,2018-01-31
1.49,47.692621,-122.314398,2018-02-28
5.01,47.692621,-122.314398,2018-03-31
2.56,47.692621,-122.314398,2018-04-30
